T(K)           P(bar)         H2O,wt%        rho,kg/m3     
  1149.83        1500.00       0.114967E-001   3210.24     
  1155.56        1500.00       0.114967E-001   3209.59     
  1161.29        1500.00       0.114967E-001   3208.93     
  1167.02        1500.00       0.114967E-001   3208.27     
  1172.76        1500.00       0.114967E-001   3207.61     
  1178.49        1500.00       0.114967E-001   3206.95     
  1184.22        1500.00       0.114967E-001   3206.29     
  1189.95        1500.00       0.114967E-001   3205.62     
  1195.68        1500.00       0.114967E-001   3204.96     
  1201.41        1500.00       0.114967E-001   3204.30     
  1207.14        1500.00       0.114967E-001   3203.63     
  1212.87        1500.00       0.114967E-001   3202.96     
  1218.60        1500.00       0.114967E-001   3202.30     
  1224.33        1500.00       0.114967E-001   3201.63     
  1230.06        1500.00       0.114967E-001   3200.96     
  1235.80        1500.00       0.114967E-001   3200.29     
  1241.53        1500.00       0.114967E-001   3199.62     
  1247.26        1500.00       0.114967E-001   3198.96     
  1252.99        1500.00       0.114967E-001   3198.28     
  1258.72        1500.00       0.114967E-001   3197.59     
  1264.45        1500.00        0.00000        3196.89     
  1270.18        1500.00        0.00000        3196.22     
  1275.91        1500.00        0.00000        3195.54     
  1281.64        1500.00        0.00000        3194.86     
  1287.37        1500.00        0.00000        3194.19     
  1293.10        1500.00        0.00000        3193.51     
  1298.84        1500.00        0.00000        3192.83     
  1304.57        1500.00        0.00000        3192.15     
  1310.30        1500.00        0.00000        3191.47     
  1316.03        1500.00        0.00000        3190.78     
  1321.76        1500.00        0.00000        3190.10     
  1327.49        1500.00        0.00000        3189.42     
  1333.22        1500.00        0.00000        3188.73     
  1338.95        1500.00        0.00000        3188.05     
  1344.68        1500.00        0.00000        3187.36     
  1350.41        1500.00        0.00000        3186.67     
  1356.14        1500.00        0.00000        3185.99     
  1361.88        1500.00        0.00000        3185.29     
  1367.61        1500.00        0.00000        3184.61     
  1373.34        1500.00        0.00000        3183.92     
  1379.07        1500.00        0.00000        3183.22     
  1384.80        1500.00        0.00000        3182.53     
  1390.53        1500.00        0.00000        3181.86     
  1396.26        1500.00        0.00000        3181.14     
  1401.99        1500.00        0.00000        3180.45     
  1407.72        1500.00        0.00000        3182.06     
  1413.45        1500.00        0.00000        3191.43     
  1419.18        1500.00        0.00000        3198.54     
  1424.92        1500.00        0.00000        3199.05     
  1430.65        1500.00        0.00000        3198.16     
  1436.38        1500.00        0.00000        3197.17     
  1442.11        1500.00        0.00000        3196.27     
  1447.84        1500.00        0.00000        3195.31     
  1453.57        1500.00        0.00000        3194.38     
  1459.30        1500.00        0.00000        3193.44     
  1465.03        1500.00        0.00000        3192.49     
  1470.76        1500.00        0.00000        3191.61     
  1476.49        1500.00        0.00000        3190.62     
  1482.22        1500.00        0.00000        3189.62     
  1487.96        1500.00        0.00000        3188.71     
  1493.69        1500.00        0.00000        3187.75     
  1499.42        1500.00        0.00000        3186.78     
  1505.15        1500.00        0.00000        3185.80     
  1510.88        1500.00        0.00000        3184.81     
  1516.61        1500.00        0.00000        3183.81     
  1522.34        1500.00        0.00000        3182.80     
  1528.07        1500.00        0.00000        3181.79     
  1533.80        1500.00        0.00000        3180.77     
  1539.53        1500.00        0.00000        3179.73     
  1545.27        1500.00        0.00000        3178.68     
  1551.00        1500.00        0.00000        3177.63     
  1556.73        1500.00        0.00000        3176.56     
  1562.46        1500.00        0.00000        3175.47     
  1568.19        1500.00        0.00000        3174.38     
  1573.92        1500.00        0.00000        3173.30     
  1579.65        1500.00        0.00000        3172.16     
  1585.38        1500.00        0.00000        3171.03     
  1591.11        1500.00        0.00000        3169.90     
  1596.84        1500.00        0.00000        3168.74     
  1602.57        1500.00        0.00000        3167.57     
  1608.31        1500.00        0.00000        3166.39     
  1614.04        1500.00        0.00000        3165.21     
  1619.77        1500.00        0.00000        3164.02     
  1625.50        1500.00        0.00000        3162.82     
  1631.23        1500.00        0.00000        3161.61     
  1636.96        1500.00        0.00000        3160.38     
  1642.69        1500.00        0.00000        3159.16     
  1648.42        1500.00        0.00000        3157.91     
  1654.15        1500.00        0.00000        3156.65     
  1659.88        1500.00        0.00000        3155.39     
  1665.61        1500.00        0.00000        3154.12     
  1671.35        1500.00        0.00000        3152.84     
  1677.08        1500.00        0.00000        3151.55     
  1682.81        1500.00        0.00000        3150.33     
  1688.54        1500.00        0.00000        3148.94     
  1694.27        1500.00        0.00000        3147.62     
  1700.00        1500.00        0.00000        3146.30     
  273.000        1815.26        12.6695        2679.32     
  278.731        1815.26        12.5828        2683.41     
  284.462        1815.26        12.5828        2683.15     
  290.193        1815.26        12.5955        2672.81     
  295.924        1815.26        12.5955        2672.58     
  301.655        1815.26        12.5955        2672.33     
  307.386        1815.26        12.5955        2672.09     
  313.116        1815.26        12.5955        2671.86     
  318.847        1815.26        12.5955        2671.59     
  324.578        1815.26        12.5376        2673.83     
  330.309        1815.26        12.5376        2673.50     
  336.040        1815.26        12.5376        2673.22     
  341.771        1815.26        12.5376        2672.93     
  347.502        1815.26        12.5376        2672.64     
  353.233        1815.26        12.5376        2672.30     
  358.964        1815.26        12.5376        2672.09     
  364.695        1815.26        12.3774        2690.69     
  370.426        1815.26        12.3774        2690.32     
  376.157        1815.26        12.3774        2689.97     
  381.888        1815.26        12.3774        2689.61     
  387.618        1815.26        12.3774        2689.26     
  393.349        1815.26        12.3774        2670.95     
  399.080        1815.26        12.3774        2670.87     
  404.811        1815.26        12.3774        2670.81     
  410.542        1815.26        12.3774        2670.74     
  416.273        1815.26        12.3774        2670.67     
  422.004        1815.26        12.3774        2670.62     
  427.735        1815.26        12.3774        2670.53     
  433.466        1815.26        12.3774        2670.46     
  439.197        1815.26        12.3774        2670.36     
  444.928        1815.26        12.3774        2670.41     
  450.659        1815.26        12.3774        2670.22     
  456.390        1815.26        12.3774        2670.17     
  462.120        1815.26        12.3775        2669.70     
  467.851        1815.26        12.3774        2669.15     
  473.582        1815.26        12.3622        2669.23     
  479.313        1815.26        12.3365        2669.72     
  485.044        1815.26        12.2981        2670.72     
  490.775        1815.26        12.2639        2671.55     
  496.506        1815.26        12.2187        2672.81     
  502.237        1815.26        12.1795        2673.84     
  507.968        1815.26        12.1353        2675.04     
  513.699        1815.26        12.0994        2675.93     
  519.430        1815.26        12.0581        2677.05     
  525.161        1815.26        12.0255        2677.85     
  530.892        1815.26        11.9779        2679.19     
  536.622        1815.26        11.9349        2680.35     
  542.353        1815.26        11.8989        2681.26     
  548.084        1815.26        11.8516        2682.58     
  553.815        1815.26        11.8027        2683.97     
  559.546        1815.26        11.7578        2685.21     
  565.277        1815.26        11.7010        2686.90     
  571.008        1815.26        11.6384        2688.81     
  576.739        1815.26        11.5849        2690.38     
  582.470        1815.26        11.5093        2692.80     
  588.201        1815.26        11.4160        2695.91     
  593.932        1815.26        11.3439        2698.20     
  599.663        1815.26        11.2304        2702.11     
  605.394        1815.26        11.0619        2708.17     
  611.124        1815.26        10.9487        2712.10     
  616.855        1815.26        10.7570        2719.13     
  622.586        1815.26        10.3915        2733.09     
  628.317        1815.26        10.0230        2747.33     
  634.048        1815.26        9.60270        2763.85     
  639.779        1815.26        9.34220        2774.00     
  645.510        1815.26        8.47890        2809.36     
  651.241        1815.26        7.88658        2834.02     
  656.972        1815.26        7.88637        2833.44     
  662.703        1815.26        7.88618        2832.86     
  668.434        1815.26        7.88600        2832.28     
  674.165        1815.26        7.88554        2831.71     
  679.896        1815.26        7.88528        2831.13     
  685.627        1815.26        7.88545        2830.53     
  691.357        1815.26        7.88399        2830.02     
  697.088        1815.26        7.88389        2829.42     
  702.819        1815.26        7.88439        2828.80     
  708.550        1815.26        7.88332        2828.26     
  714.281        1815.26        7.88310        2827.68     
  720.012        1815.26        7.88251        2827.11     
  725.743        1815.26        7.88165        2826.56     
  731.474        1815.26        7.88034        2826.03     
  737.205        1815.26        7.87939        2825.48     
  742.936        1815.26        7.87652        2825.04     
  748.667        1815.26        7.87613        2824.46     
  754.398        1815.26        7.87382        2823.98     
  760.129        1815.26        7.87171        2823.49     
  765.859        1815.26        7.86990        2822.98     
  771.590        1815.26        6.67325        2874.74     
  777.321        1815.26        6.67325        2874.13     
  783.052        1815.26        6.67325        2873.52     
  788.783        1815.26        6.67325        2872.91     
  794.514        1815.26        5.48498        2930.25     
  800.245        1815.26        4.20678        2994.90     
  805.976        1815.26        2.18752        3103.68     
  811.707        1815.26        2.17934        3103.49     
  817.438        1815.26        2.16971        3103.37     
  823.169        1815.26        2.17027        3102.74     
  828.900        1815.26        2.15206        3103.04     
  834.631        1815.26        2.13634        3103.22     
  840.361        1815.26        2.12429        3103.22     
  846.092        1815.26        2.12495        3102.58     
  851.823        1815.26        2.08683        3103.87     
  857.554        1815.26        2.09523        3102.85     
  863.285        1815.26        2.08746        3102.63     
  869.016        1815.26        2.07704        3102.54     
  874.747        1815.26        2.05563        3103.00     
  880.478        1815.26        2.03412        3103.46     
  886.209        1815.26        2.02016        3103.54     
  891.940        1815.26        1.99168        3104.35     
  897.671        1815.26        1.97452        3104.59     
  903.402        1815.26        1.92890        3106.25     
  909.133        1815.26        1.90992        3106.58     
  914.863        1815.26        1.87177        3107.88     
  920.594        1815.26        1.85563        3108.06     
  926.325        1815.26        1.51111        3128.14     
  932.056        1815.26        1.46595        3129.80     
  937.787        1815.26       0.830323        3196.77     
  943.518        1815.26       0.155499        3235.67     
  949.249        1815.26       0.152204        3234.66     
  954.980        1815.26       0.148338        3233.38     
  960.711        1815.26       0.146894        3232.86     
  966.442        1815.26       0.145143        3232.25     
  972.173        1815.26       0.136721        3229.43     
  977.904        1815.26       0.136023        3229.11     
  983.635        1815.26       0.133973        3228.44     
  989.365        1815.26       0.131926        3227.68     
  995.096        1815.26       0.130848        3227.25     
  1000.83        1815.26       0.130214        3226.69     
  1006.56        1815.26       0.439794E-001   3232.32     
  1012.29        1815.26       0.502447E-001   3232.28     
  1018.02        1815.26       0.370362E-001   3229.98     
  1023.75        1815.26       0.236995E-001   3227.64     
  1029.48        1815.26       0.165752E-001   3226.24     
  1035.21        1815.26       0.114967E-001   3224.88     
  1040.94        1815.26       0.114967E-001   3224.24     
  1046.67        1815.26       0.114967E-001   3223.99     
  1052.41        1815.26       0.114967E-001   3223.30     
  1058.14        1815.26       0.114967E-001   3222.68     
  1063.87        1815.26       0.114967E-001   3221.68     
  1069.60        1815.26       0.114967E-001   3221.02     
  1075.33        1815.26       0.114967E-001   3220.38     
  1081.06        1815.26       0.114967E-001   3219.74     
  1086.79        1815.26       0.114967E-001   3219.11     
  1092.52        1815.26       0.114967E-001   3218.47     
  1098.25        1815.26       0.114967E-001   3217.82     
  1103.98        1815.26       0.114967E-001   3217.13     
  1109.71        1815.26       0.114967E-001   3216.58     
  1115.45        1815.26       0.114967E-001   3215.94     
  1121.18        1815.26       0.114967E-001   3215.29     
  1126.91        1815.26       0.114967E-001   3214.65     
  1132.64        1815.26       0.114967E-001   3213.94     
  1138.37        1815.26       0.114967E-001   3213.31     
  1144.10        1815.26       0.114967E-001   3212.68     
  1149.83        1815.26       0.114967E-001   3212.03     
  1155.56        1815.26       0.114967E-001   3211.37     
  1161.29        1815.26       0.114967E-001   3210.71     
  1167.02        1815.26       0.114967E-001   3210.05     
  1172.76        1815.26       0.114967E-001   3209.38     
  1178.49        1815.26       0.114967E-001   3208.71     
  1184.22        1815.26       0.114967E-001   3208.07     
  1189.95        1815.26       0.114967E-001   3207.41     
  1195.68        1815.26       0.114967E-001   3206.75     
  1201.41        1815.26       0.114967E-001   3205.99     
  1207.14        1815.26       0.114967E-001   3205.40     
  1212.87        1815.26       0.114967E-001   3204.72     
  1218.60        1815.26       0.114967E-001   3204.04     
  1224.33        1815.26       0.114967E-001   3203.35     
  1230.06        1815.26       0.114967E-001   3202.67     
  1235.80        1815.26       0.114967E-001   3202.01     
  1241.53        1815.26       0.114967E-001   3201.32     
  1247.26        1815.26       0.114967E-001   3200.64     
  1252.99        1815.26       0.114967E-001   3199.96     
  1258.72        1815.26       0.114967E-001   3199.34     
  1264.45        1815.26       0.114967E-001   3198.62     
  1270.18        1815.26       0.114967E-001   3197.93     
  1275.91        1815.26       0.114967E-001   3197.25     
  1281.64        1815.26       0.114967E-001   3196.68     
  1287.37        1815.26        0.00000        3195.83     
  1293.10        1815.26        0.00000        3195.16     
  1298.84        1815.26        0.00000        3194.51     
  1304.57        1815.26        0.00000        3193.85     
  1310.30        1815.26        0.00000        3193.49     
  1316.03        1815.26        0.00000        3192.49     
  1321.76        1815.26        0.00000        3191.78     
  1327.49        1815.26        0.00000        3191.09     
  1333.22        1815.26        0.00000        3190.41     
  1338.95        1815.26        0.00000        3189.72     
  1344.68        1815.26        0.00000        3189.11     
  1350.41        1815.26        0.00000        3188.38     
  1356.14        1815.26        0.00000        3187.73     
  1361.88        1815.26        0.00000        3187.02     
  1367.61        1815.26        0.00000        3186.32     
  1373.34        1815.26        0.00000        3185.64     
  1379.07        1815.26        0.00000        3184.90     
  1384.80        1815.26        0.00000        3184.20     
  1390.53        1815.26        0.00000        3183.58     
  1396.26        1815.26        0.00000        3182.83     
  1401.99        1815.26        0.00000        3182.20     
  1407.72        1815.26        0.00000        3181.27     
  1413.45        1815.26        0.00000        3185.97     
  1419.18        1815.26        0.00000        3196.31     
  1424.92        1815.26        0.00000        3200.21     
  1430.65        1815.26        0.00000        3199.28     
  1436.38        1815.26        0.00000        3198.36     
  1442.11        1815.26        0.00000        3197.44     
  1447.84        1815.26        0.00000        3196.48     
  1453.57        1815.26        0.00000        3195.53     
  1459.30        1815.26        0.00000        3194.60     
  1465.03        1815.26        0.00000        3193.68     
  1470.76        1815.26        0.00000        3192.70     
  1476.49        1815.26        0.00000        3191.76     
  1482.22        1815.26        0.00000        3190.80     
  1487.96        1815.26        0.00000        3189.86     
  1493.69        1815.26        0.00000        3188.91     
  1499.42        1815.26        0.00000        3187.90     
  1505.15        1815.26        0.00000        3186.92     
  1510.88        1815.26        0.00000        3185.93     
  1516.61        1815.26        0.00000        3184.94     
  1522.34        1815.26        0.00000        3183.93     
  1528.07        1815.26        0.00000        3182.92     
  1533.80        1815.26        0.00000        3181.90     
  1539.53        1815.26        0.00000        3180.87     
  1545.27        1815.26        0.00000        3179.82     
  1551.00        1815.26        0.00000        3178.78     
  1556.73        1815.26        0.00000        3177.71     
  1562.46        1815.26        0.00000        3176.63     
  1568.19        1815.26        0.00000        3175.56     
  1573.92        1815.26        0.00000        3174.46     
  1579.65        1815.26        0.00000        3173.34     
  1585.38        1815.26        0.00000        3172.21     
  1591.11        1815.26        0.00000        3171.10     
  1596.84        1815.26        0.00000        3169.94     
  1602.57        1815.26        0.00000        3168.78     
  1608.31        1815.26        0.00000        3167.63     
  1614.04        1815.26        0.00000        3166.45     
  1619.77        1815.26        0.00000        3165.26     
  1625.50        1815.26        0.00000        3164.08     
  1631.23        1815.26        0.00000        3162.87     
  1636.96        1815.26        0.00000        3161.65     
  1642.69        1815.26        0.00000        3160.43     
  1648.42        1815.26        0.00000        3159.19     
  1654.15        1815.26        0.00000        3157.94     
  1659.88        1815.26        0.00000        3156.69     
  1665.61        1815.26        0.00000        3155.42     
  1671.35        1815.26        0.00000        3154.14     
  1677.08        1815.26        0.00000        3152.87     
  1682.81        1815.26        0.00000        3151.57     
  1688.54        1815.26        0.00000        3150.27     
  1694.27        1815.26        0.00000        3148.97     
  1700.00        1815.26        0.00000        3147.65     
  273.000        2130.52        12.6695        2680.69     
  278.731        2130.52        12.5828        2685.16     
  284.462        2130.52        12.5828        2684.57     
  290.193        2130.52        12.5828        2684.27     
  295.924        2130.52        12.5828        2684.00     
  301.655        2130.52        12.5828        2683.72     
  307.386        2130.52        12.5955        2673.60     
  313.116        2130.52        12.5955        2673.37     
  318.847        2130.52        12.5955        2673.11     
  324.578        2130.52        12.5376        2675.28     
  330.309        2130.52        12.5376        2675.01     
  336.040        2130.52        12.5376        2674.76     
  341.771        2130.52        12.5376        2674.45     
  347.502        2130.52        12.5376        2674.14     
  353.233        2130.52        12.5376        2673.68     
  358.964        2130.52        12.3774        2692.66     
  364.695        2130.52        12.3774        2692.23     
  370.426        2130.52        12.3774        2691.88     
  376.157        2130.52        12.3774        2691.47     
  381.888        2130.52        12.3774        2691.20     
  387.618        2130.52        12.3774        2690.82     
  393.349        2130.52        12.3774        2673.07     
  399.080        2130.52        12.3774        2672.45     
  404.811        2130.52        12.3774        2672.38     
  410.542        2130.52        12.3774        2672.34     
  416.273        2130.52        12.3774        2672.26     
  422.004        2130.52        12.3774        2672.24     
  427.735        2130.52        12.3774        2672.13     
  433.466        2130.52        12.3774        2672.04     
  439.197        2130.52        12.3774        2671.97     
  444.928        2130.52        12.3774        2671.90     
  450.659        2130.52        12.3774        2671.85     
  456.390        2130.52        12.3774        2671.59     
  462.120        2130.52        12.3774        2671.05     
  467.851        2130.52        12.3774        2670.51     
  473.582        2130.52        12.3775        2669.97     
  479.313        2130.52        12.3503        2670.52     
  485.044        2130.52        12.3250        2671.00     
  490.775        2130.52        12.2898        2671.86     
  496.506        2130.52        12.2492        2672.95     
  502.237        2130.52        12.2044        2674.20     
  507.968        2130.52        12.1607        2675.38     
  513.699        2130.52        12.1274        2676.20     
  519.430        2130.52        12.0867        2677.29     
  525.161        2130.52        12.0545        2678.04     
  530.892        2130.52        12.0017        2679.57     
  536.622        2130.52        11.9465        2681.19     
  542.353        2130.52        11.9298        2681.37     
  548.084        2130.52        11.8826        2682.69     
  553.815        2130.52        11.8329        2684.11     
  559.546        2130.52        11.7929        2685.16     
  565.277        2130.52        11.7362        2686.84     
  571.008        2130.52        11.6724        2688.80     
  576.739        2130.52        11.6294        2689.96     
  582.470        2130.52        11.5539        2692.37     
  588.201        2130.52        11.4603        2695.48     
  593.932        2130.52        11.4102        2696.93     
  599.663        2130.52        11.2969        2700.82     
  605.394        2130.52        11.1378        2706.49     
  611.124        2130.52        11.0714        2708.59     
  616.855        2130.52        10.8803        2715.56     
  622.586        2130.52        10.5158        2729.42     
  628.317        2130.52        10.4641        2730.98     
  634.048        2130.52        9.92662        2751.95     
  639.779        2130.52        9.36863        2774.11     
  645.510        2130.52        9.22978        2779.35     
  651.241        2130.52        8.32556        2816.52     
  656.972        2130.52        7.88641        2834.68     
  662.703        2130.52        7.88624        2834.10     
  668.434        2130.52        7.88612        2833.52     
  674.165        2130.52        7.88567        2832.95     
  679.896        2130.52        7.88563        2832.36     
  685.627        2130.52        7.88556        2831.77     
  691.357        2130.52        7.88422        2831.26     
  697.088        2130.52        7.88383        2830.68     
  702.819        2130.52        7.88456        2830.05     
  708.550        2130.52        7.88402        2829.48     
  714.281        2130.52        7.88318        2828.93     
  720.012        2130.52        7.88284        2828.35     
  725.743        2130.52        7.88198        2827.80     
  731.474        2130.52        7.88063        2827.28     
  737.205        2130.52        7.88008        2826.71     
  742.936        2130.52        7.87544        2826.36     
  748.667        2130.52        7.87507        2825.78     
  754.398        2130.52        7.87469        2825.20     
  760.129        2130.52        7.87271        2824.70     
  765.859        2130.52        7.87016        2824.24     
  771.590        2130.52        7.27410        2849.46     
  777.321        2130.52        6.67325        2875.37     
  783.052        2130.52        6.67325        2874.76     
  788.783        2130.52        6.67325        2874.15     
  794.514        2130.52        6.45928        2883.81     
  800.245        2130.52        5.30880        2939.66     
  805.976        2130.52        2.65287        3079.00     
  811.707        2130.52        2.18616        3104.35     
  817.438        2130.52        2.17879        3104.12     
  823.169        2130.52        2.17129        3103.90     
  828.900        2130.52        2.15853        3103.93     
  834.631        2130.52        2.14321        3104.09     
  840.361        2130.52        2.14021        3103.64     
  846.092        2130.52        2.14051        3103.03     
  851.823        2130.52        2.09610        3104.62     
  857.554        2130.52        2.11360        3103.15     
  863.285        2130.52        2.10808        3102.82     
  869.016        2130.52        2.09277        3102.98     
  874.747        2130.52        2.07136        3103.43     
  880.478        2130.52        2.04687        3104.05     
  886.209        2130.52        2.04345        3103.60     
  891.940        2130.52        2.01499        3104.41     
  897.671        2130.52        1.99601        3104.74     
  903.402        2130.52        1.97716        3105.07     
  909.133        2130.52        1.94932        3105.84     
  914.863        2130.52        1.89955        3107.72     
  920.594        2130.52        1.87949        3108.10     
  926.325        2130.52        1.86117        3108.40     
  932.056        2130.52        1.52549        3128.03     
  937.787        2130.52        1.49172        3129.11     
  943.518        2130.52       0.646123        3215.73     
  949.249        2130.52       0.157292        3236.43     
  954.980        2130.52       0.156697        3235.77     
  960.711        2130.52       0.153282        3234.68     
  966.442        2130.52       0.151268        3233.99     
  972.173        2130.52       0.149970        3233.46     
  977.904        2130.52       0.145786        3232.09     
  983.635        2130.52       0.140021        3230.13     
  989.365        2130.52       0.139132        3229.82     
  995.096        2130.52       0.137863        3229.27     
  1000.83        2130.52       0.132367        3227.50     
  1006.56        2130.52       0.315381E-001   3233.07     
  1012.29        2130.52       0.489404E-001   3234.33     
  1018.02        2130.52       0.509395E-001   3233.67     
  1023.75        2130.52       0.524818E-001   3232.68     
  1029.48        2130.52       0.296646E-001   3229.73     
  1035.21        2130.52       0.384378E-001   3230.01     
  1040.94        2130.52       0.224529E-001   3227.41     
  1046.67        2130.52       0.114967E-001   3225.24     
